Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed
resnet18,CIFAR10,256,0.9259,0.9107,0.9974,0.9961,4,1.0,1.0,1.0,False,,0.1,0.0,0.5221,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.91,0.9974,0.997,4,1.05,1.0,1.0,False,,0.1,0.0,0.5327,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9157,0.9974,0.9965,4,1.1,1.0,1.0,False,,0.1,0.0,0.5465,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9167,0.9974,0.9964,4,1.15,1.0,1.0,False,,0.1,0.0,0.5587,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9177,0.9974,0.997,4,1.2000000000000002,1.0,1.0,False,,0.1,0.0,0.5646,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9193,0.9974,0.9969,4,1.2500000000000002,1.0,1.0,False,,0.1,0.0,0.5775,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9193,0.9974,0.9973,4,1.3000000000000005,1.0,1.0,False,,0.1,0.0,0.5833,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9215,0.9974,0.9972,4,1.3500000000000003,1.0,1.0,False,,0.1,0.0,0.5914,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9185,0.9974,0.9969,4,1.4000000000000004,1.0,1.0,False,,0.1,0.0,0.5994,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.918,0.9974,0.9972,4,1.4500000000000004,1.0,1.0,False,,0.1,0.0,0.6038,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9212,0.9974,0.9967,4,1.5000000000000004,1.0,1.0,False,,0.1,0.0,0.6096,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9214,0.9974,0.9971,4,1.5500000000000005,1.0,1.0,False,,0.1,0.0,0.6129,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9201,0.9974,0.9973,4,1.6000000000000003,1.0,1.0,False,,0.1,0.0,0.6208,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9173,0.9974,0.9966,4,1.6500000000000006,1.0,1.0,False,,0.1,0.0,0.6239,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.918,0.9974,0.9971,4,1.7000000000000006,1.0,1.0,False,,0.1,0.0,0.6286,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9216,0.9974,0.997,4,1.7500000000000009,1.0,1.0,False,,0.1,0.0,0.6345,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9185,0.9974,0.9963,4,1.8000000000000007,1.0,1.0,False,,0.1,0.0,0.6377,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9186,0.9974,0.9974,4,1.8500000000000008,1.0,1.0,False,,0.1,0.0,0.6408,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9181,0.9974,0.9974,4,1.9000000000000008,1.0,1.0,False,,0.1,0.0,0.646,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9185,0.9974,0.9964,4,1.9500000000000008,1.0,1.0,False,,0.1,0.0,0.6507,0.25,False,0
resnet18,CIFAR10,256,0.9259,0.9185,0.9974,0.9965,4,2.0,1.0,1.0,False,,0.1,0.0,0.6528,0.25,False,0
